127.0.0.1 - - [28/Nov/2018:11:05:19 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:05:21 +0900] "GET /gittest/index.jsp HTTP/1.1" 200 7259
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:05:21 +0900] "GET /gittest/IMAGE/img/recommand.png HTTP/1.1" 200 143125
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:05:21 +0900] "GET /gittest/DESIGN/css/main.css HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:05:21 +0900] "GET /gittest/IMAGE/bookImage/01.jpg HTTP/1.1" 200 116576
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:05:21 +0900] "GET /gittest/DESIGN/css/bootstrap.css HTTP/1.1" 200 147980
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:05:21 +0900] "GET /gittest/DESIGN/css/animate.css HTTP/1.1" 200 81372
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:05:21 +0900] "GET /gittest/DESIGN/js/bootstrap.js HTTP/1.1" 200 69038
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:05:21 +0900] "GET /gittest/DESIGN/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:05:21 +0900] "GET /gittest/IMAGE/img/mainpage.jpg HTTP/1.1" 200 183659
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:05:29 +0900] "GET /DongyangWEB/dongyangWEBproject/LOGIN/login.jsp HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:06:34 +0900] "GET /gittest/index.jsp HTTP/1.1" 200 7011
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:06:34 +0900] "GET /gittest/DESIGN/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:06:34 +0900] "GET /gittest/DESIGN/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:06:34 +0900] "GET /gittest/IMAGE/img/recommand.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:06:34 +0900] "GET /gittest/IMAGE/bookImage/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:06:34 +0900] "GET /gittest/DESIGN/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:06:34 +0900] "GET /gittest/DESIGN/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:06:34 +0900] "GET /gittest/DESIGN/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:06:34 +0900] "GET /gittest/IMAGE/img/mainpage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:06:36 +0900] "GET /LOGIN/login.jsp HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:06:44 +0900] "GET /gittest/index.jsp HTTP/1.1" 200 7011
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:40 +0900] "GET /gittest/index.jsp HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:40 +0900] "GET /gittest/DESIGN/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:40 +0900] "GET /gittest/DESIGN/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:40 +0900] "GET /gittest/DESIGN/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:40 +0900] "GET /gittest/IMAGE/img/recommand.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:40 +0900] "GET /gittest/IMAGE/bookImage/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:40 +0900] "GET /gittest/DESIGN/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:40 +0900] "GET /gittest/DESIGN/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:40 +0900] "GET /gittest/IMAGE/img/mainpage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:41 +0900] "GET /gittest/LOGIN/login.jsp HTTP/1.1" 200 4674
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:41 +0900] "GET /gittest/LOGIN/DESIGN/js/bootstrap.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [28/Nov/2018:11:07:41 +0900] "GET /gittest/IMAGE/img/section1.png HTTP/1.1" 200 761312
